,symbol,period,open_time,open,high,low,close,volume,feat_ret_high,feat_ret_low,feat_ret_close,ma20,ma20_slope,feat_z_score_ma20_slope,ma50,ma50_slope,feat_z_score_ma50_slope,ma100,ma100_slope,feat_z_score_ma100_slope,ma200,ma200_slope,feat_z_score_ma200_slope,log_open,log1p_volume,feat_z_score_log_open,feat_z_score_log1p_volume,label_close_fast,label_close_slow
26,BTC/USDT,4h,1582920000000,8586.17,8809.05,8576.13,8699.57,25979.658,2.595802319311158,-0.11693222938750081,1.3207285669862179,8899.208499999999,-0.003944395231066156,-1.4143159077197953,9378.011999999999,-0.0018682218685094343,-1.3249902444575103,9698.1955,-0.0017217019875724882,-2.3108230443309785,9604.72415,0.00012435010940947677,-1.6195252460949723,9.057908048262382,10.165069126165658,-2.7834272082225806,0.22279510513575657,-0.11735854762133824,0.41006243207694393
27,BTC/USDT,4h,1582934400000,8699.86,8777.77,8670.0,8727.75,15197.697,0.8955316522334833,-0.3432239139480431,0.32057987140021726,8867.181,-0.0035989155664797323,-1.252201283943175,9361.425799999999,-0.001768626442363197,-1.2317997487173684,9681.843,-0.001686138416161942,-2.210872823155497,9605.5377,8.47031093549333e-05,-1.6905303201540431,9.071062212559175,9.628899182197195,-2.4188472967708794,-0.8192868833688222,-0.35753673728946644,0.38865782339959626
28,BTC/USDT,4h,1582948800000,8725.24,8799.83,8711.0,8756.41,15338.668,0.8548761982478448,-0.16320467975665665,0.3572394570235282,8838.7015,-0.0032117873763940485,-1.0753063038767658,9344.5142,-0.0018065196863494837,-1.238896973718604,9666.1178,-0.0016241948976037923,-2.0924241579819967,9606.2637,7.558140134089619e-05,-1.684557072973547,9.073975253855636,9.638132239338892,-2.288904426065392,-0.8035787834630514,-1.8874152423869057,0.21065848959773897
29,BTC/USDT,4h,1582963200000,8756.5,8775.0,8613.0,8708.56,19911.086,0.21127162679153155,-1.6387826186261667,-0.5474790155884257,8815.1835,-0.002660798082161686,-0.830417325052471,9324.489,-0.0021429899480488457,-1.4568532596023422,9649.9286,-0.0016748399238420975,-2.088042733210704,9606.47105,2.1584874877023097e-05,-1.7867478877155905,9.077551560712719,9.899031941025239,-2.15528777742746,-0.29623077416479626,-0.8907635949270764,0.5429090910647234
30,BTC/USDT,4h,1582977600000,8706.83,8708.65,8580.0,8657.77,23410.208,0.02090313007143685,-1.456672520308766,-0.5634656930249005,8790.1915,-0.002835108310564216,-0.8907667366811092,9304.111799999999,-0.0021853422745203854,-1.4608088299796602,9633.1064,-0.0017432460588360232,-2.10002044954651,9606.4799,9.212540124092783e-07,-1.8070945494210051,9.07186305411751,10.060927445537326,-2.209630493696948,0.012551494667319623,-0.9529392582672339,0.5804107641610815
31,BTC/USDT,4h,1582992000000,8657.77,8685.0,8602.96,8680.0,14276.416,0.31451516961065185,-0.6330729506558996,0.25676357768802394,8765.691,-0.0027872544073698213,-0.8573643402430964,9283.707999999999,-0.002192987405847835,-1.4401706524823574,9615.950799999999,-0.0017809000843177492,-2.0823926422385104,9606.1916,-3.0010992892459676e-05,-1.8486295441865501,9.066212462622504,9.56636422400057,-2.256747395582725,-0.9401314526818156,-0.6574273416325468,0.8912380296418517
32,BTC/USDT,4h,1583006400000,8679.89,8679.89,8530.0,8531.98,15390.61,0.0,-1.7268652022087827,-1.7040538532170357,8742.078,-0.002693797899104733,-0.8045085571616377,9259.8276,-0.0025722911578001106,-1.6751214020449494,9597.7939,-0.0018882064163637802,-2.128185151913626,9604.9501,-0.00012923956253385604,-2.051663850407832,9.068764134763034,9.641512862174789,-2.1477478684215647,-0.7833390531545081,0.6021110879774592,2.172482863331416
33,BTC/USDT,4h,1583020800000,8532.5,8679.0,8520.06,8627.76,24400.094,1.7169645473190664,-0.14579548784061647,1.1164371520656413,8731.5515,-0.0012041187461379055,-0.15012252636081713,9238.631200000002,-0.0022890706950093875,-1.4498120706968287,9582.4212,-0.0016016909885926411,-1.8185310280392117,9603.4187,-0.0001594386211334342,-2.0810094234677305,9.051637680780862,10.102342263732888,-2.3998161838277268,0.10758877893994288,-0.7290498464743372,0.9166742740187597
34,BTC/USDT,4h,1583035200000,8627.64,8641.45,8525.0,8547.86,18840.962,0.16006694762416007,-1.1896648446156677,-0.9247024678822768,8719.3335,-0.0013992931267712283,-0.22464467553499395,9215.9606,-0.0024538916544262213,-1.5366218549672748,9565.2552,-0.0017914052870062758,-1.9501673545629419,9601.58995,-0.00019042697784288354,-2.111959066884793,9.062726282021027,9.843788608397881,-2.1329363040735743,-0.39252680345435453,0.1533827690683669,2.188485747175614
35,BTC/USDT,4h,1583049600000,8548.4,8659.0,8530.0,8654.99,21450.808,1.2938093678349194,-0.21524495812080824,1.2469000046792411,8714.808,-0.0005190190282319262,0.17028851335785192,9195.6492,-0.0022039373736038037,-1.3409809092468006,9549.166,-0.0016820460786033387,-1.813278046812433,9599.24225,-0.00024451158737515133,-2.19837948615268,9.053499409916036,9.973517592644374,-2.2378479197173418,-0.13619185833747896,-0.7755735988793899,1.1391952240519145
